date,home_team,away_team,home_ML,away_ML,home_Sim_Prob,away_Sim_Prob,home_win,away_win
"Mon, Dec 9, 2019",Boston Celtics,Cleveland Cavaliers,775,-1300,0.7014,0.2986,1,0
"Mon, Dec 9, 2019",Indiana Pacers,Los Angeles Clippers,122,-142,0.6624,0.3376,0,1
"Mon, Dec 9, 2019",New Orleans Pelicans,Detroit Pistons,-112,-108,0.7766,0.2234,0,1
"Mon, Dec 9, 2019",Chicago Bulls,Toronto Raptors,-260,220,0.4991,0.5009,0,1
"Mon, Dec 9, 2019",Houston Rockets,Sacramento Kings,625,-950,0.8176,0.1824,0,1
"Mon, Dec 9, 2019",Milwaukee Bucks,Orlando Magic ,700,-1100,0.8932,0.1068,1,0
"Mon, Dec 9, 2019",Phoenix Suns,Minnesota Timberwolves,162,-182,0.4207,0.5793,1,0
"Mon, Dec 9, 2019",Utah Jazz,Oklahoma City Thunder,315,-400,0.63,0.37,0,1
"Mon, Dec 9, 2019",Golden State Warriors,Memphis Grizzlies,134,-154,0.4967,0.5033,0,1
"Tue, Dec 10, 2019",Washington Wizards,Charlotte Hornets,-120,100,0.2792,0.7208,1,0
"Tue, Dec 10, 2019",Denver Nuggets,Philadelphia 76ers,190,-220,0.5827,0.4173,1,0
"Tue, Dec 10, 2019",Atlanta Hawks,Miami Heat,305,-380,0.43,0.57,1,0
"Tue, Dec 10, 2019",New York Knicks,Portland Trail Blazers,347,-432,0.8175,0.1825,1,0
"Wed, Dec 11, 2019",Cleveland Cavaliers,Houston Rockets,550,-800,0.2149,0.7851,0,1
"Wed, Dec 11, 2019",Indiana Pacers,Boston Celtics,-105,-115,0.5575,0.4425,1,0
"Wed, Dec 11, 2019",Orlando Magic,Los Angeles Lakers,300,-375,0.2073,0.7927,0,1
"Wed, Dec 11, 2019",Toronto Raptors,Los Angeles Clippers,125,-145,0.5376,0.4624,0,1
"Wed, Dec 11, 2019",Brooklyn Nets,Charlotte Hornets,-500,380,0.6668,0.3332,0,1
"Wed, Dec 11, 2019",Chicago Bulls,Atlanta Hawks,-205,175,0.1922,0.8078,1,0
"Wed, Dec 11, 2019",Minnesota Timberwolves,Utah Jazz,100,-120,0.7397,0.2603,0,1
